epoch	lr	loss_train	loss_test	mpjpe_mean(train)	mpjpe_std(train)	mpjpe_mean(test)	mpjpe_std(test)	learnloss_train	learnloss_test	
1	0.00100	19586.06794	6794.13343	177.48614	84.17782	102.62986	10.51665	23.63707	11.14953	
2	0.00100	6850.55148	5137.52544	109.27420	10.65566	88.75668	9.07931	131.42519	12.75110	
3	0.00100	5943.62887	4639.34106	102.43578	9.40276	84.37627	7.63507	1713.46570	9.28649	
4	0.00100	5468.60607	4217.33100	98.78561	9.56671	79.69450	7.50652	17.60418	5.36745	
5	0.00100	5184.83514	4041.76471	96.29350	9.17799	77.81924	7.86292	10.85908	29533.49609	
6	0.00100	4970.55850	3944.84993	94.53319	9.27208	76.41399	7.73212	13.18872	11.57533	
7	0.00100	4831.35953	3762.46866	93.17257	8.73122	74.35249	7.78568	6.94611	7.24278	
8	0.00100	4676.88929	3724.54277	91.69503	8.67045	73.86216	7.17380	12.94919	10.16812	
9	0.00100	4559.08981	3664.40930	90.56975	8.47664	72.89562	7.53701	8.21024	7.28484	
10	0.00100	4471.37086	3633.33895	89.68550	9.26531	72.87952	7.20557	15.96429	9.02108	
11	0.00100	4420.19075	3530.92015	89.26190	8.94476	70.96254	7.55817	11.62628	39.49661	
12	0.00100	4331.57395	3545.43998	88.36453	8.56491	71.73489	7.12180	24.81339	22.32450	
13	0.00100	4307.79909	3514.48354	88.31313	8.97435	71.22950	7.08220	10.16911	5.95479	
14	0.00100	4238.60382	3369.26751	87.56952	8.63952	69.44367	7.32847	11.53563	14.07307	
15	0.00100	4184.21967	3363.75532	87.00430	8.78218	69.12639	7.13470	14.20618	9.73608	
16	0.00100	4100.63834	3379.77653	86.03055	8.22232	69.00424	7.25800	44.98660	7.24699	
17	0.00100	4072.96703	3459.22586	85.73332	8.57558	70.39761	7.15626	15.21946	10.71829	
18	0.00100	4023.95860	3326.98773	85.30112	8.82938	68.50224	7.50707	8.83581	9.18941	
19	0.00100	4006.87677	3349.65793	85.14610	8.46050	68.63543	7.49055	34.47247	5.19003	
20	0.00100	3948.75361	3261.21385	84.58357	8.20701	67.78683	7.14263	9.09230	15.64884	
21	0.00100	3904.04910	3284.06275	84.12703	8.13782	67.93806	7.15998	12.65442	23.56742	
